Words,Language
sa,French
se,French
ses,French
son,French
sur,French
ta,French
te,French
tes,French
toi,French
ton,French
tu,French
un,French
une,French
vos,French
votre,French
vous,French
c,French
d,French
j,French
l,French
à,French
m,French
n,French
s,French
t,French
y,French
été,French
étée,French
étées,French
étés,French
étant,French
étante,French
étants,French
étantes,French
suis,French
es,French
est,French
sommes,French
êtes,French
sont,French
serai,French
seras,French
sera,French
serons,French
serez,French
seront,French
serais,French
serait,French
serions,French
seriez,French
seraient,French
étais,French
était,French
étions,French
étiez,French
étaient,French
fus,French
fut,French
fûmes,French
fûtes,French
furent,French
sois,French
soit,French
soyons,French
soyez,French
soient,French
fusse,French
fusses,French
fût,French
fussions,French
fussiez,French
fussent,French
ayant,French
ayante,French
ayantes,French
ayants,French
eu,French
eue,French
eues,French
eus,French
ai,French
as,French
avons,French
avez,French
ont,French
aurai,French
auras,French
aura,French
aurons,French
aurez,French
auront,French
aurais,French
aurait,French
aurions,French
auriez,French
auraient,French
avais,French
avait,French
avions,French
aviez,French
avaient,French
eut,French
eûmes,French
eûtes,French
eurent,French
aie,French
aies,French
ait,French
ayons,French
ayez,French
aient,French
eusse,French
eusses,French
eût,French
eussions,French
eussiez,French
eussent,French
